20240613 071100,5506.5,5506.5,5505.75,5506.25,64
20240613 071200,5506.5,5506.5,5506,5506.25,81
20240613 071300,5506.5,5506.5,5506.25,5506.25,43
20240613 071400,5506.25,5507,5506,5507,75
20240613 071500,5507,5507.75,5507,5507.75,80
20240613 071600,5507.75,5507.75,5507.25,5507.75,64
20240613 071700,5508,5508,5507,5508,57
20240613 071800,5508,5508.5,5508,5508.5,39
20240613 071900,5508.5,5508.75,5508,5508,78
20240613 072000,5507.75,5507.75,5507.25,5507.5,78
20240613 072100,5507.5,5507.5,5507,5507,92
20240613 072200,5507,5507.25,5506.75,5507.25,35
20240613 072300,5507,5507.75,5507,5507.75,34
20240613 072400,5507.75,5508,5507.25,5507.25,26
20240613 072500,5507.25,5507.5,5507,5507,45
20240613 072600,5507.25,5507.25,5506,5506.25,203
20240613 072700,5506,5506.5,5506,5506.25,60
20240613 072800,5506.5,5506.5,5506,5506.25,73
20240613 072900,5506.5,5506.5,5505.5,5505.75,73
20240613 073000,5506,5506.75,5506,5506.5,51
20240613 073100,5506.25,5506.5,5505.75,5506,96
20240613 073200,5506,5506.25,5505.75,5505.75,72
20240613 073300,5506,5506.25,5505.75,5505.75,36
20240613 073400,5505.5,5505.75,5505.25,5505.75,62
20240613 073500,5505.75,5506,5505.5,5505.5,48
20240613 073600,5505.75,5506,5505,5505,46
20240613 073700,5504.75,5504.75,5503.5,5503.75,140
20240613 073800,5503.5,5503.5,5502,5502.25,103
20240613 073900,5502.25,5503,5502.25,5502.25,83
20240613 074000,5502.75,5502.75,5502.25,5502.25,52
20240613 074100,5502.5,5502.75,5502.25,5502.5,54
20240613 074200,5502.75,5502.75,5502.5,5502.75,31
20240613 074300,5502.75,5503,5502.5,5503,60
20240613 074400,5503.25,5503.75,5503.25,5503.75,82
20240613 074500,5504,5504,5503.5,5503.75,57
20240613 074600,5503.75,5504.5,5503.75,5504.5,31
20240613 074700,5504.5,5504.75,5504.5,5504.5,47
20240613 074800,5504.75,5504.75,5504.5,5504.75,37
20240613 074900,5505,5505.25,5504.5,5504.75,98
20240613 075000,5505.25,5506,5505,5505.5,96
20240613 075100,5505.5,5505.75,5504.75,5504.75,123
20240613 075200,5504.5,5504.5,5503.5,5503.75,89
20240613 075300,5504,5504.5,5503.75,5504.5,56
20240613 075400,5504.5,5505,5504.25,5505,33
20240613 075500,5505,5505,5504,5504,45
20240613 075600,5504,5504.5,5503.75,5503.75,100
20240613 075700,5504,5504.25,5503.5,5504.25,53
20240613 075800,5504,5505,5504,5504,103
